gene,n_significant_variants,median_odds_ratio,median_mdr_freq,median_susc_freq,n_enriched_MDR,is_compensatory,is_primary_DR
fmt,13,0.0394,0.001148,0.023303,0,0,0
PPE58,13,1.3987,0.459242,0.411348,12,0,0
Rv2989,13,0.0,0.0,0.023303,0,0,0
Rv2732c,13,0.0,0.0,0.024316,0,0,0
Rv2680,13,0.0,0.0,0.023303,0,0,0
Rv2709,13,0.0,0.0,0.023303,0,0,0
Rv2170,13,0.0,0.0,0.023303,0,0,0
Rv2205c,13,0.0482,0.001148,0.021277,1,0,0
Rv2415c,13,0.0,0.0,0.024316,2,0,0
galK,13,0.0886,0.002296,0.023303,1,0,0
Rv2975c,13,0.0442,0.001148,0.025329,0,0,0
Rv3627c,13,0.0442,0.001148,0.024316,1,0,0
PPE24,13,1.7379,0.051665,0.030395,9,0,0
Rv1065,13,0.0482,0.001148,0.021277,0,0,0
PPE25,13,6.4046,0.184845,0.035461,10,0,0
Rv1825,13,0.0409,0.001148,0.025329,2,0,0
acpS,13,0.0442,0.001148,0.025329,0,0,0
hemN,13,0.0482,0.001148,0.023303,1,0,0
hadC,13,0.0461,0.001148,0.024316,1,0,0
whiB7,13,0.0,0.0,0.025329,0,1,0
PE_PGRS18,12,1.52845,0.098163,0.12614,7,0,0
ssr,12,0.05165,0.001148,0.0227965,0,0,0
Rv2923c,12,0.0,0.0,0.021277,2,0,0
hemY,12,0.046200000000000005,0.001148,0.02229,2,0,0
Rv1191,12,0.05425,0.001148,0.0258355,1,0,0
fdxD,12,0.0851,0.002296,0.024316,0,0,0
Rv2825c,12,2.3615,0.051665,0.020263,8,0,0
Rv1056,12,0.0,0.0,0.021277,2,0,0
Rv3815c,12,0.0529,0.001148,0.0217835,3,0,0
Rv2375,12,0.02125,0.000574,0.02229,0,0,0
PPE57,12,0.1794,0.0177955,0.0729485,2,0,0
pheA,12,0.02125,0.000574,0.0217835,0,0,0
mmaA2,12,0.03735,0.001148,0.027861999999999998,1,0,0
Rv1639c,12,0.0493,0.001148,0.0238095,3,0,0
Rv1634,12,0.0,0.0,0.023303,3,0,0
dapE,12,0.0482,0.001148,0.023303,0,0,0
ahpE,12,0.042050000000000004,0.001148,0.027356,0,0,0
espG3,12,0.04515,0.001148,0.02229,0,0,0
Rv3492c,12,0.04335,0.001148,0.02229,0,0,0
Rv3604c,12,0.0461,0.001148,0.024316,1,0,0
Rv2081c,12,0.1965,0.025258,0.116515,1,0,0
Rv0190,12,0.0,0.0,0.028369,0,0,0
Rv2175c,12,0.0442,0.001148,0.023303,0,0,0
atpB,12,0.0,0.0,0.023303,0,0,0
thiL,12,0.0442,0.001148,0.0248225,2,0,0
Rv1754c,12,0.0409,0.001148,0.0248225,1,0,0
cobD,12,0.0482,0.001148,0.0238095,2,0,0
TB18.5,12,0.0,0.0,0.0238095,0,0,0
Rv0787A,12,0.0,0.0,0.023303,0,0,0
Rv3901c,12,4.73875,0.04822,0.0106385,12,0,0
Rv0048c,12,0.0,0.0,0.023303,0,0,0
Rv3814c,12,0.0,0.0,0.0227965,0,0,0
Rv1930c,12,0.02305,0.000574,0.02229,0,0,0
rseA,11,0.0,0.0,0.023303,1,0,0
PE_PGRS45,11,0.6176,0.074627,0.093212,5,0,0
Rv1129c,11,0.0409,0.001148,0.027356,2,0,0
Rv2851c,11,0.0529,0.001148,0.02229,0,0,0
Rv2342,11,0.0,0.0,0.024316,0,0,0
gabP,11,0.0442,0.001148,0.02229,0,0,0
PE_PGRS43,11,0.2421,0.019518,0.032421,4,0,0
lpqI,11,0.0,0.0,0.021277,3,0,0
PE_PGRS24,11,2.8099,0.049369,0.072948,6,0,0
Rv3716c,11,0.0482,0.001148,0.023303,2,0,0
pks2,11,4.5629,0.020666,0.020263,6,0,0
Rv0090,11,0.0,0.0,0.021277,2,0,0
mce2C,11,0.0,0.0,0.02229,3,0,0
cspA,11,0.0665,0.002296,0.032421,1,0,0
ahpD,11,0.0425,0.001148,0.024316,1,0,0
Rv1898,11,0.0,0.0,0.023303,0,0,0
Rv0199,11,0.0,0.0,0.023303,0,0,0
pup,11,0.071,0.002296,0.027356,1,0,0
pstS3,11,0.0425,0.001148,0.023303,0,0,0
ptkA,11,0.0,0.0,0.023303,0,0,0
lgt,11,0.0,0.0,0.024316,0,0,0
Rv0452,11,0.0504,0.001148,0.021277,1,0,0
Rv1841c,11,0.0,0.0,0.021277,2,0,0
Rv1863c,11,0.0851,0.002296,0.025329,0,0,0
