feature,importance,rank
feature_1591,0.005449469852744192,415
feature_4332,0.005425677558892734,416
feature_2973,0.005423203796447841,417
feature_3292,0.005416314932513893,418
feature_1704,0.0054048924209273005,419
feature_1902,0.005392405587220202,420
feature_2566,0.005385993172984431,421
feature_1370,0.005369987042710627,422
feature_2368,0.005361630424145464,423
feature_4830,0.005361544522436328,424
feature_3525,0.005346669448649544,425
feature_2450,0.005341262105796643,426
feature_4427,0.005333907864126764,427
feature_2866,0.0053265061114966756,428
feature_1085,0.005323111403668988,429
feature_2614,0.005316752593915495,430
feature_1479,0.0053148128473445334,431
feature_2943,0.0053134385683497425,432
feature_4943,0.00531332156471391,433
feature_3921,0.005311695561332815,434
feature_3501,0.005311292842832404,435
feature_3361,0.005309865339602893,436
feature_3975,0.005299583063036411,437
feature_0191,0.005293911167986286,438
feature_0875,0.005290411461399842,439
feature_0174,0.005289963369075229,440
feature_3140,0.005289684057970029,441
feature_4296,0.0052894214818270825,442
feature_3175,0.0052873299474953655,443
feature_0021,0.005285975211990186,444
feature_3072,0.005283919139859645,445
feature_3723,0.005283111996491672,446
feature_0225,0.005282887221234756,447
feature_3190,0.005275835792246523,448
feature_0215,0.005274943345585294,449
feature_2358,0.005274645129110861,450
feature_0550,0.005269882587279068,451
feature_1217,0.0052668161893055865,452
feature_4875,0.005262822485971332,453
feature_1499,0.005261758075118408,454
feature_3440,0.00525909819007824,455
feature_1132,0.005258615159076133,456
feature_3396,0.005254740323667641,457
feature_4865,0.0052535543883510324,458
feature_4190,0.005253230621041937,459
feature_4777,0.005251916752894913,460
feature_1538,0.005250193646655165,461
feature_0259,0.0052501556576149055,462
feature_1126,0.005248791930030345,463
feature_3842,0.005247816635582208,464
feature_2074,0.0052444479649226905,465
feature_4780,0.0052432502739407465,466
feature_2713,0.005241419093995887,467
feature_0241,0.00524058225116505,468
feature_2555,0.005234598575952161,469
feature_2251,0.0052343026403544575,470
feature_4650,0.005232361893524834,471
feature_3857,0.005232181175983969,472
feature_4823,0.0052321333194178836,473
feature_2212,0.0052316994634879765,474
feature_0280,0.005230783539720768,475
feature_1923,0.005230669133553488,476
feature_3425,0.005227268733939346,477
feature_2388,0.005224853643960175,478
feature_2252,0.005224176542358973,479
feature_0702,0.005223550461321798,480
feature_4351,0.005221498695128457,481
feature_3302,0.005220517773681728,482
feature_0484,0.005220076211335784,483
feature_3625,0.0052185173404995485,484
feature_2774,0.005217098364597396,485
feature_2066,0.0052162806155191185,486
feature_4333,0.005213928864903468,487
feature_2240,0.005213262893304673,488
feature_1122,0.005212233276908523,489
feature_2478,0.005211991287356189,490
feature_1649,0.005210097110618459,491
feature_4884,0.005207966653354894,492
feature_1339,0.005206338156102679,493
feature_1519,0.005205555031493978,494
feature_4876,0.005204669894244399,495
feature_3178,0.005203961488337783,496
feature_2625,0.005202945031923945,497
feature_2796,0.005201705645386244,498
feature_0817,0.0051997552593435,499
feature_1814,0.005198194420385881,500
feature_3406,0.005196839264193836,501
feature_0759,0.005195299957029682,502
feature_1003,0.005194128175124648,503
feature_1977,0.0051924854459548045,504
feature_3049,0.005187364532534022,505
feature_4616,0.005185132771314026,506
feature_1079,0.005183555411475226,507
feature_0003,0.005182382254141172,508
feature_0860,0.005180485054957991,509
feature_3170,0.005177885943298278,510
feature_3219,0.005175830307398451,511
feature_0207,0.005174796282226025,512
feature_2643,0.00517464981286747,513
feature_2986,0.005174530676397235,514
feature_4309,0.005172389551896948,515
feature_0833,0.005171052261355772,516
feature_0572,0.0051682130724853455,517
feature_0602,0.00516709939886343,518
feature_0574,0.005166706515023135,519
feature_3618,0.005165156490412095,520
feature_1268,0.0051649025805350305,521
feature_4306,0.0051648077367854334,522
feature_2610,0.005164239412013232,523
feature_4955,0.005161383069271011,524
feature_0573,0.005161055543119696,525
feature_3698,0.0051588246017684955,526
feature_3099,0.005157682796169625,527
feature_3926,0.00515569404478846,528
feature_2979,0.005154937382999308,529
feature_0310,0.005154868047669315,530
feature_0338,0.005153889124072666,531
feature_1229,0.00515102869956434,532
